fromLabel,fromLatitude,fromLongitude,toLabel,toLatitude,toLongitude,category
Sochi,43.449928,39.956589,Kazan,55.606186,49.278728,N
Astrakhan,46.283333,48.006278,Kazan,55.606186,49.278728,N
Astrakhan,46.283333,48.006278,Mineralnyye Vody,44.225072,43.081889,N
Balandino,55.305836,61.503333,Kazan,55.606186,49.278728,N
Balandino,55.305836,61.503333,Tolmachevo,55.012622,82.650656,N
Domododevo,55.408611,37.906111,Kazan,55.606186,49.278728,N
Domododevo,55.408611,37.906111,Begishevo,55.34,52.06,N
Domododevo,55.408611,37.906111,,,,
Domododevo,55.408611,37.906111,Bugulma Airport,54.64,52.8017,N
Belgorod International Airport,50.6438,36.5901,Khrabrovo,54.89005,20.592633,N
Belgorod International Airport,50.6438,36.5901,Kazan,55.606186,49.278728,N
Heydar Aliyev,40.4675,50.046667,Begishevo,55.34,52.06,N
Khrabrovo,54.89005,20.592633,Belgorod International Airport,50.6438,36.5901,N
Kazan,55.606186,49.278728,Sochi,43.449928,39.956589,N
Kazan,55.606186,49.278728,Astrakhan,46.283333,48.006278,N
Kazan,55.606186,49.278728,Balandino,55.305836,61.503333,N
Kazan,55.606186,49.278728,Domododevo,55.408611,37.906111,N
Kazan,55.606186,49.278728,Belgorod International Airport,50.6438,36.5901,N
Kazan,55.606186,49.278728,Pulkovo,59.800292,30.262503,N
Kazan,55.606186,49.278728,Koltsovo,56.743108,60.802728,N
Pulkovo,59.800292,30.262503,Kazan,55.606186,49.278728,N
Pulkovo,59.800292,30.262503,Begishevo,55.34,52.06,N
Pulkovo,59.800292,30.262503,Bugulma Airport,54.64,52.8017,N
Mineralnyye Vody,44.225072,43.081889,Astrakhan,46.283333,48.006278,N
Begishevo,55.34,52.06,Domododevo,55.408611,37.906111,N
Begishevo,55.34,52.06,Heydar Aliyev,40.4675,50.046667,E
Begishevo,55.34,52.06,Pulkovo,59.800292,30.262503,N
Begishevo,55.34,52.06,Koltsovo,56.743108,60.802728,N
Nizhnevartovsk,60.949272,76.483617,Koltsovo,56.743108,60.802728,N
Nizhnevartovsk,60.949272,76.483617,Bugulma Airport,54.64,52.8017,N
Novyi Urengoy,66.041811,76.313938,Koltsovo,56.743108,60.802728,N
Tolmachevo,55.012622,82.650656,Balandino,55.305836,61.503333,N
Tolmachevo,55.012622,82.650656,Koltsovo,56.743108,60.802728,N
Koltsovo,56.743108,60.802728,Kazan,55.606186,49.278728,N
Koltsovo,56.743108,60.802728,Begishevo,55.34,52.06,N
Koltsovo,56.743108,60.802728,Nizhnevartovsk,60.949272,76.483617,N
Koltsovo,56.743108,60.802728,Novyi Urengoy,66.041811,76.313938,N
Koltsovo,56.743108,60.802728,Tolmachevo,55.012622,82.650656,N
,,,Domododevo,55.408611,37.906111,N
Bugulma Airport,54.64,52.8017,Domododevo,55.408611,37.906111,N
Bugulma Airport,54.64,52.8017,Pulkovo,59.800292,30.262503,N
Bugulma Airport,54.64,52.8017,Nizhnevartovsk,60.949272,76.483617,N
Bratsk,56.370556,101.698331,Irkutsk,52.268028,104.388975,N
Bratsk,56.370556,101.698331,Tolmachevo,55.012622,82.650656,N
Balandino,55.305836,61.503333,Tolmachevo,55.012622,82.650656,N
Kadala,52.026317,113.305556,Irkutsk,52.268028,104.388975,N
Irkutsk,52.268028,104.388975,Bratsk,56.370556,101.698331,N
Irkutsk,52.268028,104.388975,Kadala,52.026317,113.305556,N
Irkutsk,52.268028,104.388975,,,,
Irkutsk,52.268028,104.388975,Bodaibo,57.5137,114.1348,N
Irkutsk,52.268028,104.388975,Tolmachevo,55.012622,82.650656,N
Irkutsk,52.268028,104.388975,Ust-Kut,56.85,105.7167,N
Irkutsk,52.268028,104.388975,Lensk,60.723,114.825,U
Irkutsk,52.268028,104.388975,Yakutsk,62.09325,129.770672,N
,,,Irkutsk,52.268028,104.388975,N
Mirny,62.534689,114.038928,Tolmachevo,55.012622,82.650656,N
Bodaibo,57.5137,114.1348,Irkutsk,52.268028,104.388975,N
Tolmachevo,55.012622,82.650656,Bratsk,56.370556,101.698331,N
Tolmachevo,55.012622,82.650656,Balandino,55.305836,61.503333,N
Tolmachevo,55.012622,82.650656,Irkutsk,52.268028,104.388975,N
Ust-Kut,56.85,105.7167,Irkutsk,52.268028,104.388975,N
Lensk,60.723,114.825,Irkutsk,52.268028,104.388975,N
Yakutsk,62.09325,129.770672,Irkutsk,52.268028,104.388975,N
Coronel Fap Alfredo Mendivil Duarte,-13.154819,-74.204417,Jorge Chavez Intl,-12.021889,-77.114319,U
Teniente Alejandro Velasco Astete Intl,-13.535722,-71.938781,Jorge Chavez Intl,-12.021889,-77.114319,U
Teniente Alejandro Velasco Astete Intl,-13.535722,-71.938781,Padre Aldamiz,-12.613611,-69.228611,U
Alferez Fap David Figueroa Fernandini Airport,-9.878811,-76.204797,Jorge Chavez Intl,-12.021889,-77.114319,U
Coronel Francisco Secada Vignetta Intl,-3.784739,-73.308806,Cap Fap David Abenzur Rengifo Intl,-8.377939,-74.574297,U
Coronel Francisco Secada Vignetta Intl,-3.784739,-73.308806,Cadete Guillermo Del Castillo Paredes,-6.508742,-76.373247,U
Jorge Chavez Intl,-12.021889,-77.114319,Coronel Fap Alfredo Mendivil Duarte,-13.154819,-74.204417,U
Jorge Chavez Intl,-12.021889,-77.114319,Teniente Alejandro Velasco Astete Intl,-13.535722,-71.938781,U
Jorge Chavez Intl,-12.021889,-77.114319,Alferez Fap David Figueroa Fernandini Airport,-9.878811,-76.204797,U
